"x","y",
22.5189,0.318309,
22.8233,0.714986,
23.1886,1.191,
23.4984,1.59481,
23.8637,2.07082,
24.1735,2.47464,
24.5388,2.95065,
24.9095,3.4338,
25.2139,3.83048,
25.5792,4.30649,
25.889,4.7103,
26.2543,5.18632,
26.5641,5.59013,
26.9294,6.06614,
27.3001,6.54929,
27.6045,6.94597,
27.9698,7.42198,
28.276,7.8285,
28.612,8.32548,
28.8737,8.76201,
29.1237,9.19502,
29.4237,9.71463,
29.6782,10.1554,
29.9782,10.6751,
30.2327,11.1159,
30.5327,11.6355,
30.7872,12.0763,
31.0872,12.5959,
31.3872,13.1155,
31.6417,13.5563,
31.9417,14.0759,
32.1945,14.5177,
32.4681,15.0516,
32.6748,15.5167,
32.8876,16.0776,
33.0664,16.6502,
33.191,17.1437,
33.3053,17.7326,
33.3765,18.2366,
33.4548,18.8314,
33.5213,19.3361,
33.5996,19.9309,
33.6779,20.5258,
33.7364,21.0314,
33.7729,21.6302,
33.7757,22.1391,
33.7457,22.7383,
33.6921,23.2444,
33.596,23.8365,
33.4646,24.4219,
33.3334,24.9137,
33.1781,25.4932,
33.0444,25.9844,
32.8604,26.5553,
32.6777,27.0304,
32.4481,27.5847,
32.2567,28.0466,
32.0619,28.5169,
31.8323,29.0712,
31.6375,29.5414,
31.4079,30.0958,
31.1749,30.6584,
30.9453,31.2127,
30.7157,31.7671,
30.5209,32.2373,
30.3295,32.6993,
30.1352,33.1697,
29.928,33.7327,
