x,y
36,9.5
32.3141,9.82248
29.4769,8.49947
28.1833,6.95784
26.7515,5.52605
25.4326,3.95426
24.0691,2.32924
22.6934,0.689831
21.789,-1.24975
21.789,-3.27213
20.5535,-5.03664
18.7765,-6.06255
16.6964,-6.24454
14.6679,-5.50622
12.7453,-4.60971
10.8449,-3.91801
8.66921,-4.10837
6.5772,-3.92534
5.70595,-5.79374
3.98448,-7.23822
1.91502,-7.99145
0.234264,-9.16833
-1.84585,-9.35031
-3.75125,-8.46181
-5.43998,-7.27935
-6.31196,-4.8836
-7.03346,-2.90131
-8.5987,-1.33606
-10.4722,-0.254399
-12.2805,0.789632
-14.4233,0.00970595
-16.5922,0.392126
-18.2809,1.57458
-19.3439,3.41578
-20.4139,5.26916
-21.7375,6.84654
-23.5644,7.90129
-32.2309,12.939
-32.2309,12.939
