x,y
-86.4809,27.9524
-82.6563,27.5901
-79.0003,27.1939
-75.549,26.8348
-72.2304,26.459
-68.8829,26.1223
-65.5503,25.9826
-62.2585,26.098
-58.7953,26.5158
-55.2863,27.2473
-51.9168,28.3579
-48.7614,29.8621
-45.7601,31.5862
-42.7511,33.4393
-39.6082,35.3177
-36.1813,37.2021
-32.4753,39.0955
-28.4156,40.8789
-24.191,42.4669
-20.0317,43.8105
-16.013,44.9211
-12.0698,45.9336
-8.22266,46.8562
-4.40435,47.7894
-0.480732,48.865
3.60343,50.2153
7.66962,52.0873
11.5278,54.4625
15.1557,57.3057
18.6124,60.6075
21.9775,64.3991
25.1121,68.6946
28.0275,73.1721
